osmid,highway,lanes,oneway,reversed,length,bridge,speed_kph,travel_time,maxspeed,ref,name,junction,access,width,tunnel
421670259,residential,,False,True,7.383845225588902,,40.2335,0.6606892965344812,25 mph,,Regent Street,,,,
421670259,residential,,False,False,200.88219785324304,,40.2335,17.97447182749885,25 mph,,Regent Street,,,,
6563388,residential,,False,False,28.95054460006562,,35.78807267343486,2.9121981927123777,,,,,,,
6677710,residential,,False,False,69.56911528882299,,35.78807267343486,6.998108485055929,,,Oak Creek Trail,,,,
6677710,residential,,False,True,20.077922317823706,,35.78807267343486,2.019681836563903,,,Oak Creek Trail,,,,
6563388,residential,,False,True,28.95054460006562,,35.78807267343486,2.9121981927123777,,,,,,,
6563397,residential,,False,False,48.2598862454573,,35.78807267343486,4.854566829261206,,,,,,,
6677710,residential,,False,False,95.45992965550506,,35.78807267343486,9.602521764602052,,,Oak Creek Trail,,,,
6677710,residential,,False,True,69.56911528882299,,35.78807267343486,6.998108485055929,,,Oak Creek Trail,,,,
6563397,residential,,False,True,48.259886245457295,,35.78807267343486,4.854566829261206,,,,,,,
6707354,residential,,False,True,488.4607536579458,,35.78807267343486,49.1353286670252,,,Wittwer Road,,,,
6727677,residential,,False,False,89.30330837091994,,32.1868,9.988315400577621,20 mph,,North Walbridge Avenue,,,,
6727677,residential,,False,True,319.56981549524596,,32.1868,35.74295474489187,20 mph,,North Walbridge Avenue,,,,
"[458020508, 458020509]",motorway_link,"['2', '1']",True,False,408.88573509167963,,88.5137,16.630065699773557,,,,,,,
"[39370105, 1043440787, 39370102]",motorway,2,True,False,1024.9574664804968,yes,88.5137,41.68673187687091,55 mph,WI 30,,,,,
307232090,primary,3,True,False,36.40440970858604,,72.4203,1.809656614939592,45 mph,US 51,North Stoughton Road,,,,
458020505,motorway_link,2,True,False,29.28187430154977,,88.5137,1.190942729606594,,,,,,,
6563745,motorway_link,2,True,False,448.36828769689834,,88.5137,18.235887051482813,,,,,,,
458020506,primary,5,True,False,114.66474669189192,,72.4203,5.699963795935821,45 mph,US 51,North Stoughton Road,,,,
"[1043657449, 1410597362, 138150725]",motorway,3,True,False,368.40494393012756,yes,88.5137,14.98364431888464,55 mph,WI 30,,,,,
89533238,motorway,3,True,False,536.3874318069279,,88.5137,21.81577263751194,55 mph,US 12;US 18,,,,,
6563924,motorway_link,1,True,False,510.7142119709812,,88.5137,20.771599911601623,,,,,,,
"[387744866, 6581612, 38132797, 38132798, 38132799]",motorway_link,1,True,False,1090.86500557496,yes,88.5137,44.367301559756925,,,,,,,
814030042,residential,,False,True,10.931969374833308,,35.78807267343486,1.0996705552856667,,,,,,,
"[700438272, 814030043]",tertiary,2,True,False,545.5116319125565,,44.58354698042482,44.0485786325494,,,American Family Drive,,,,
"[33298792, 859698856, 1375206186, 1107338155, 753426220, 753426221, 38461043, 38461044, 114362388, 1232451901]",motorway,"['4', '3']",True,False,2852.7754050371714,yes,112.6538,91.16418139586784,70 mph,I 94,,,,,
4709908,motorway,3,True,False,169.0643653519832,,112.6538,5.402673636105836,70 mph,I 39;I 90,,,,,
"[38458984, 38458985, 6564492, 38459502, 38458969]",motorway,2,True,False,1335.3242825281266,yes,112.6538,42.67203962139986,70 mph,I 94,,,,,
6564675,motorway_link,1,True,False,624.0335204443743,,88.5137,25.380485434455316,,,,,,,
6574338,motorway_link,1,True,False,315.6211628434391,,88.5137,12.836839791313444,,,,,,,
6641321,residential,,False,True,7.823579852897034,,35.78807267343486,0.7869908985441355,,,High Point Woods Drive,,,,
6565384,residential,,False,False,82.08631699433522,,35.78807267343486,8.257241005296201,,,,,,,
6641321,residential,,False,False,106.28373251250304,,35.78807267343486,10.691311614805876,,,High Point Woods Drive,,,,
